Get a loan	loan
On October 12, 2022, a scammer attempted to bezel money from me by sending me a false check from PlayStation Studios. He posed as a Job recruiter from PlayStation and sent me a statement with your logo, address, and routing number.	scammer attempted, playstation studios, bezel money, false check, routing number
talk to relationship banker	relationship banker, banker, talk relationship, relationship, talk
Do you notice a fraud alert on our account for 16.32 on 7/10?	fraud alert, alert account, notice, 16
What's your overnight payoff address for auto loan	auto loan, overnight payoff, payoff address, address auto, overnight
Can I not deposit a check on the app	deposit check, check app, deposit, app, check
Closing account	closing account, closing
Can I write a check and sign it over to somebody else to purchase items	purchase items, sign somebody, write check, check, somebody
Online banking	online banking, banking, online
I am trying to file my taxes for 2022 and I need some info on the 1098 Mortgage loan. How can I get that info.??	1098 mortgage, file taxes, 2022 need, info, trying file
Hi
Hi there! I need some help with…resetting my password	resetting password, help resetting
1000$ dollars was taken out of my account but the transaction is not shown	transaction shown, 1000 dollars, shown, taken
Why is my account
Need to unlock my acc	unlock acc, acc, need unlock, unlock
Stop payment	stop payment, payment, stop
I was trying to log-in using an old password and am now locked out. I remembered the new password, so is it possible to try again?	old password, possible try, log using, remembered, new
Reset password	reset password, password, reset
a block that I'm in control of as a customer is beyond me. This is easily the 3rd time I've mentioned this! Leave my card ALONE...as well as any access unless I make the full and capable decision to do so as I wish! I am terribly annoyed with this and other issues at this point! There is not a reason in the world that empowers you to control	card access, block, empowers control, terribly annoyed, decision wish
Hello
I need assistance with online banking	online banking, banking, online, assistance
Hey I was just checking on the status of a one-time courtesy credit that I had an overdraft fee last week	credit overdraft, time courtesy, hey just, checking status, week
Is there any way I can get my debit card # on here?	debit card, debit, way debit, card, way
my online ebank id is locked	ebank id, online ebank, locked, online, id
I received a message that I need to update my password but I can’t remember my old password in order to change it.	update password, received message, order change, remember
I'm needing to get a debit card for this account. Can I request one here?	debit card, needing debit, card account, needing
What is needed for me to send a bank wire?	bank wire, send bank, wire, needed send
Hi there! I need some help with…resetting password for online banking app	resetting password, banking app, online, hi need
Dispute charges	dispute charges, charges, dispute
Can I make a deposit on this app?	deposit app, make deposit, deposit, app, make
Hi - i am currently locked out of my account... need access please	locked account, account need, access, hi currently
